id,name,mode,lat,lon,live_crowding_percentage,live_data_available,day_of_week,last_updated
940GZZLUDOH,Dollis Hill Underground Station,tube,51.551955,-0.239068,12.82,True,WED,18:11
940GZZLUEAC,Elephant & Castle Underground Station,tube,51.494536,-0.100606,,False,,
940GZZLUEAE,Eastcote Underground Station,tube,51.576506,-0.397373,,False,,
940GZZLUEAN,East Acton Underground Station,tube,51.516612,-0.247248,21.07,True,WED,18:11
940GZZLUEBY,Ealing Broadway Underground Station,tube,51.515017,-0.301457,32.04,True,WED,18:11
940GZZLUECM,Ealing Common Underground Station,tube,51.51014,-0.288265,12.12,True,WED,18:11
940GZZLUECT,Earl's Court Underground Station,tube,51.492063,-0.193378,40.52,True,WED,18:11
940GZZLUEFY,East Finchley Underground Station,tube,51.587131,-0.165012,26.62,True,WED,18:11
940GZZLUEGW,Edgware Underground Station,tube,51.613653,-0.274928,13.13,True,WED,18:11
940GZZLUEHM,East Ham Underground Station,tube,51.538948,0.051186,26.95,True,WED,18:11
940GZZLUEMB,Embankment Underground Station,tube,51.507058,-0.122666,53.59,True,WED,18:11
940GZZLUEPG,Epping Underground Station,tube,51.69368,0.113767,11.71,True,WED,18:11
940GZZLUEPK,Elm Park Underground Station,tube,51.549775,0.19864,7.79,True,WED,18:11
940GZZLUEPY,East Putney Underground Station,tube,51.459205,-0.211,9.88,True,WED,18:11
940GZZLUERB,Edgware Road (Bakerloo) Underground Station,tube,51.520299,-0.17015,26.5,True,WED,18:11
940GZZLUERC,Edgware Road (Circle Line) Underground Station,tube,51.519858,-0.167832,37.8,True,WED,18:11
940GZZLUESQ,Euston Square Underground Station,tube,51.525604,-0.135829,28.37,True,WED,18:11
940GZZLUEUS,Euston Underground Station,tube,51.527999,-0.133785,51.38,True,WED,18:11
940GZZLUFBY,Fulham Broadway Underground Station,tube,51.480081,-0.195422,18.54,True,WED,18:11
940GZZLUFCN,Farringdon Underground Station,tube,51.520252,-0.104913,75.69,True,WED,18:11
940GZZLUFLP,Fairlop Underground Station,tube,51.595618,0.091004,7.83,True,WED,18:11
940GZZLUFPK,Finsbury Park Underground Station,tube,51.564158,-0.106825,33.66,True,WED,18:11
940GZZLUFYC,Finchley Central Underground Station,tube,51.600921,-0.192527,20.23,True,WED,18:11
940GZZLUFYR,Finchley Road Underground Station,tube,51.546825,-0.179845,36.24,True,WED,18:11
940GZZLUGBY,Gunnersbury Underground Station,tube,51.491803,-0.275267,36.56,True,WED,18:11
940GZZLUGDG,Goodge Street Underground Station,tube,51.520599,-0.134361,56.24,True,WED,18:11
940GZZLUGFD,Greenford Underground Station,tube,51.542424,-0.34605,22.76,True,WED,18:11
